"plot.id","cluster","plot","count.ha","ba.ha","agb.ha","bgb.ha","agc.ha","bgc.ha","v.ha","dbh.mean","dbh.qdr.mean","h.mean","h.loreys","count.ha.sdt","ba.ha.sdt","agb.ha.sdt","bgb.ha.sdt","agc.ha.sdt","bgc.ha.sdt","v.ha.sdt","count.ha.ddw","agb.ha.ddw","v.ha.ddw","agc.ha.ddw","c.can"
1103,11,3,375,5.27661902096942,20.223483252885,5.56145789454337,9.50503712885594,2.61388521043538,16.4270139491705,11.0213333333333,24.660411109788,5.852,7.41231038640152,0,0,0,0,0,0,0,0,0,0,0,32.0318500659844
1104,11,4,20,0.575107805147781,1.89292585872659,0.520554611149813,0.889675153601499,0.244660667240412,1.60838972404518,18.05,22.0258067599863,5.25,6.65875042676682,0,0,0,0,0,0,0,75,0.0230748727631723,0.35598564455071,0.010845190198691,4.5756006385743
1105,11,5,775,5.55058553531653,18.8352816708886,5.17970245949438,8.85258238531766,2.43446015596236,16.5689784465405,8.46129032258064,14.5957285214494,5.47445161290323,7.10734902313143,20,0.448886466308178,1.63539282827799,0.449733027776449,0.768634629290657,0.211374523054931,1.44061176357944,0,0,0,0,21.2739462158476
1106,11,6,1045,9.05196123357706,35.353138558201,9.72211310350528,16.6159751223545,4.56939315864748,29.9991545942322,9.34401913875598,15.8972589035527,5.98162679425837,7.89072740311219,0,0,0,0,0,0,0,100,0.0271597140077467,0.537184854828136,0.012765065583641,37.3206935569715
1107,11,7,670,8.87682922411188,33.9222840906901,9.32862812493979,15.9434735226244,4.3844552187217,29.0958316941889,10.2119402985075,30.8509095912082,6.08716417910448,7.80411428439977,10,0.0899202357273739,0.290082064270666,0.0797725676744333,0.136338570207213,0.0374931068069836,0.229242648963367,25,0.0195178739103429,0.386038905273114,0.00917340073786115,40.3292524882746
1108,11,8,1105,10.2308870737356,32.9803354176156,9.06959223984428,15.5007576462793,4.26270835272681,31.3197854660528,9.76470588235294,15.2290159883375,6.49122171945701,7.28880274397242,0,0,0,0,0,0,0,0,0,0,0,39.2812346873943
1109,11,9,10,0.419096313970512,1.39646823158361,0.384028763685494,0.656340068844298,0.180493518932182,1.19693907269978,23.1,23.1,6.8,6.8,0,0,0,0,0,0,0,0,0,0,0,1.94461229017904
1110,11,10,995,6.31542590178705,20.4462875144656,5.62272906647805,9.60975513179885,2.64268266124468,16.1714226935064,8.06934673366834,12.7780022509498,5.31597989949749,6.09672062728126,10,0.0833228911548353,0.22807481185654,0.0627205732605484,0.107195161572574,0.0294786694324578,0.179177545139358,25,0.043089590422056,0.6647610054996,0.0202521074983663,33.7804552705676
1201,12,1,1050,9.91265944589024,28.1459855648832,7.74014603034288,13.2286132154951,3.63786863426115,27.8289530831138,9.61047619047619,16.8900874640188,5.706,6.68432245295412,0,0,0,0,0,0,0,0,0,0,0,35.9082584971077
1202,12,2,650,7.05705382553836,23.1085934705682,6.35486320440625,10.861038931167,2.98678570607094,19.9932416105525,10.5092307692308,16.1796788539529,5.94261538461538,6.74544326746293,0,0,0,0,0,0,0,0,0,0,0,39.480584309602
1203,12,3,1215,5.70468458196593,13.2809522174679,3.65226185980366,6.24204754220989,1.71656307410772,12.5672069613014,7.28641975308642,10.4164097403018,4.82139917695473,5.24514912376109,0,0,0,0,0,0,0,0,0,0,0,12.5124924139332
1204,12,4,1090,8.17706302246966,21.2282679990191,5.83777369973025,9.97728595953897,2.74375363887322,20.3405388586065,8.67706422018349,14.7068563569025,4.61045871559633,5.92264658987875,0,0,0,0,0,0,0,50,0.0112942937966904,0.223386872624319,0.0053083180844445,36.8410975222972
